% Model,cwt_solver_20240922.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 14 2024, 09:19"
% Dimension,2
% Nodes,441
% Expressions,4
% Description,", , , "
% Length unit,m
% X,Y,Rx (1) @ lambda=6,Sx (1) @ lambda=6,Ry (1) @ lambda=6,Sy (1) @ lambda=6
-194.99674557495857,-129.99783038330534,0.6645636521993563+1.5491637783568175i,-0.5668233608515162-1.6527322736368115i,-0.6470737164967244-1.568001030623402i,0.5843132699720943+1.63389504724009i
-129.99783038330585,-194.99674557495834,0.647073725403594+1.5680010716426214i,-0.5843132848282319-1.6338950746732392i,-0.6645636428549975-1.5491637375159533i,0.5668233420462732+1.6527322540863296i
-64.99891519165307,-259.9956607666112,0.5869610042490673+1.5029655783239078i,-0.5577169574748029-1.5331150091084749i,-0.6379676300359045-1.4483837975106133i,0.5067103067137136+1.5876968198878694i
-4.2395934180090557E-13,-324.994575958264,0.49047106869548773+1.3595926269354843i,-0.4904710686954959-1.3595926269354788i,-0.5707219082328123-1.2748613861798965i,0.410220205496478+1.4443237103653161i
64.99891519165226,-389.99349114991696,0.3679924163727739+1.1504237303882525i,-0.3905043088290475-1.1289700685839719i,-0.47075608372064137-1.0442390356356224i,0.28774062402930944+1.2351548187722092i
129.9978303833051,-454.9924063415696,0.2329670184955869+0.8939245149411704i,-0.26934872559325496-0.861935213537969i,-0.34960073495133515-0.7772042087324529i,0.15271498353280036+0.9786553572053495i
194.99674557495788,-519.9913215332226,0.100455250664092+0.6128845815168105i,-0.14086183442893174-0.5823953202211649i,-0.22111537224092948-0.49766459020887105i,0.020201696407721487+0.6976154008402484i
-519.9913215332222,259.99566076661176,0.1970223152369467+0.4560524737960659i,-0.01186746696238608-0.636559434841199i,-0.07819693741284586-0.5659928504531508i,0.13069283133968773+0.526618983101216i
-454.9924063415694,194.99674557495896,0.3236627522695844+0.7324484633228149i,-0.1374130348076338-0.9205124581156483i,-0.2037415005568495-0.8499458428694561i,0.25733430015414027+0.8030151159427651i
-389.9934911499166,129.99783038330617,0.4503031153300974+1.008844876940691i,-0.2731032366077637-1.1923266265844332i,-0.3394312229574539-1.1217597902916365i,0.3839751058089602+1.079411627295456i
-324.9945759582639,64.99891519165315,0.5624849690543151+1.260506466025713i,-0.4036747967594655-1.4277809030188073i,-0.4700021374737625-1.3572140253121945i,0.49615761797306324+1.3310733281506268i
-259.99566076661125,3.5826024737276676E-13,0.6473326856101139+1.464888515739714i,-0.5146786158434259-1.6060224216350136i,-0.5810056360682783-1.5354554273505578i,0.5810056360682635+1.5354554273505583i
-194.99674557495854,-64.99891519165257,0.6949801969663618+1.6036179650370512i,-0.59404123503377-1.7113738915166732i,-0.6603679697149897-1.6408068686700286i,0.628653438044278+1.6741849333411298i
-129.99783038330577,-129.9978303833054,0.6996595731505392+1.6641351680963448i,-0.6333328736754877-1.7347021742758029i,-0.699659562294896-1.6641351266613587i,0.6333328564547208+1.7347021473348239i
-64.998915191653,-194.9967455749583,0.6603679800280352+1.6408069087196784i,-0.6286534513480388-1.6741849665123658i,-0.6949801865342919-1.6036179239025774i,0.594041214763915+1.7113738724864322i
-3.788572841625114E-13,-259.9956607666112,0.581005644849584+1.5354554646095209i,-0.5810056448496004-1.535455464609521i,-0.6473326764388867-1.4648884767230785i,0.5146785935577078+1.6060224115845092i
64.99891519165239,-324.994575958264,0.47000214381758904+1.3572140587780697i,-0.4961576219658744-1.3310733670878154i,-0.5624849617563115-1.260506430913101i,0.40367477354978487+1.4277809023147894i
129.99783038330511,-389.9934911499169,0.3394312261353908+1.1217598194508611i,-0.3839751051338892-1.079411665458328i,-0.4503031102192761-1.0088448473256246i,0.27310321351848355+1.1923266348677868i
194.99674557495788,-454.9924063415697,0.20374150009097416+0.8499458677379222i,-0.2573342953303835-0.8030151510659784i,-0.32366274931639283-0.7324484404592007i,0.13741301274146245+0.9205124743438772i
259.9956607666106,-519.9913215332226,0.07819693312059192+0.5659928715712912i,-0.1306928232572402-0.5266190133250492i,-0.19702231406019946-0.4560524584810576i,0.011867446605025395+0.6365594573959165i
-519.9913215332222,324.9945759582647,0.16720511034191918+0.4041529090112962i,-0.0017470167353337562-0.5605216169487052i,-0.05275583795584951-0.5059401345861149i,0.1161962913146589+0.4587342772907043i
-454.9924063415693,259.9956607666117,0.2883587231743233+0.6711883079954625i,-0.11669219244292028-0.8409899822503446i,-0.16769965534466666-0.786408499605387i,0.23735126470453238+0.7257698752476903i
-389.9934911499166,194.99674557495896,0.416845324082007+0.9507282225990936i,-0.2492045014412251-1.1220301837958537i,-0.30021204796298323-1.0674484813407081i,0.3658377639643352+1.0053097849578416i
-324.99457595826385,129.99783038330605,0.5380009378229174+1.217761323757796i,-0.3842314167026949-1.3785278441234476i,-0.43523804004735317-1.3239461519210798i,0.48699429791805066+1.272343065229484i
-259.9956607666111,64.99891519165308,0.6379676388822954+1.4483838364212949i,-0.5067103285079018-1.5876968301866368i,-0.5577169472946617-1.5331149757456737i,0.5869609967743388+1.5029655387101193i
-194.99674557495837,3.14048699369916E-13,0.7052134599142976+1.6219053478952956i,-0.6032011214269812-1.7310690034441016i,-0.6542072764390315-1.6764871867585327i,0.6542072764390374+1.67648718675854i
-129.99783038330568,-64.99891519165266,0.7318099633500422+1.7226853997195677i,-0.6633137392856235-1.7961045022928859i,-0.7143198848920251-1.7415225733223716i,0.6808037900732223+1.777267171842198i
-64.9989151916529,-129.99783038330548,0.7143198973034403+1.7415226136335795i,-0.6808038056845089-1.7772672048154319i,-0.7318099512980872-1.7226853580535735i,0.6633137206148533+1.7961044756747917i
-2.5257152277500757E-13,-194.99674557495845,0.6542072882221512+1.6764872241729705i,-0.6542072882221537-1.6764872241729627i,-0.7052134491155467-1.621905306665357i,0.6032011006636885+1.731068984591973i
64.9989151916525,-259.99566076661137,0.5577169574748118+1.5331150091084682i,-0.5869610042490643-1.5029655783239215i,-0.6379676300358903-1.4483837975106166i,0.5067103067137219+1.58769681988788i
129.9978303833052,-324.99457595826414,0.4352380477651178+1.323946180560911i,-0.4869943009585979-1.2723431046757625i,-0.538000931350336-1.217761288968872i,0.38423139492687763+1.3785278424752856i
194.996745574958,-389.9934911499172,0.300212052560993+1.067448505127379i,-0.36583776283324065-1.005309821968256i,-0.41684532007059844-0.9507281934915636i,0.24920448062129347+1.1220301902088456i
259.9956607666107,-454.99240634157,0.16769965643060145+0.7864085189532644i,-0.23735126004934295-0.7257699078647469i,-0.2883587213544724-0.6711882857378332i,0.1166921733225304+0.840989995509697i
324.9945759582634,-519.9913215332227,0.05275583543512949+0.5059401504142288i,-0.11619628412539215-0.458734304060225i,-0.1672051101014769-0.40415289427170886i,0.0017469998055528457+0.5605216353377771i
-519.9913215332219,389.9934911499175,0.13248792087155725+0.34311954942892925i,0.009741188829912262-0.47127131319431065i,-0.02487272290172876-0.43408264704381827i,0.09787399773426453+0.38030817805356093i
-454.99240634156934,324.9945759582645,0.244667788608301+0.5947839484345022i,-0.09122970422783716-0.7419132034200104i,-0.1258430238888241-0.704724522326645i,0.21005447723464907+0.6319726449250737i
-389.99349114991645,259.99566076661165,0.37130768302925554+0.8711809222728657i,-0.21677391600660303-1.0258671559951218i,-0.25138698247127067-0.9886783307457364i,0.3366945990916405+0.9083696844432332i
-324.99457595826374,194.99674557495882,0.49794978023705544+1.1475750790702566i,-0.3524657590782166-1.2976789619479465i,-0.3870784074017163-1.260490113551456i,0.463337121000283+1.1847639042713387i
-259.995660766611,129.99783038330588,0.6101310144431513+1.3992376739945418i,-0.48303603116866806-1.5331342070369995i,-0.517648470955496-1.495945270998927i,0.5755185480033183+1.4364265354213641i
-194.9967455749583,64.99891519165297,0.6949801969663532+1.6036179650370421i,-0.5940412350337541-1.7113738915166787i,-0.6286534380442432-1.6741849333411252i,0.6603679697150159+1.6408068686700223i
-129.9978303833056,1.6159221303491917E-13,0.7426268654688112+1.7423485093162405i,-0.6734026182528368-1.8167264255904396i,-0.7080147263175937-1.7795374290672465i,0.7080147263175899+1.7795374290672539i
-64.99891519165276,-64.99891519165269,0.7473074836459324+1.802864380862184i,-0.7126954214677325-1.8400533455533827i,-0.7473074699466546-1.8028643404148856i,0.71269540444102+1.8400533127244496i
-1.4432658444286147E-13,-129.99783038330568,0.7080147403191445+1.779537466537174i,-0.7080147403191596-1.77953746653715i,-0.7426268530135952-1.7423484675760434i,0.6734025990934299+1.8167263990843547i
64.99891519165247,-194.9967455749586,0.6286534513480544+1.6741849665123394i,-0.6603679800280218-1.6408069087196573i,-0.6949801865343134-1.6036179239025532i,0.5940412147639136+1.7113738724864063i
129.9978303833052,-259.99566076661137,0.5176484826091519+1.4959452990281001i,-0.5755185542750167-1.4364265757972021i,-0.6101310065602736-1.3992376354078502i,0.4830360108336281+1.5331341960084364i
194.99674557495803,-324.994575958264,0.38707841659781106+1.26049013614299i,-0.4633371232428627-1.184763942735305i,-0.4979497751084154-1.1475750448395083i,0.35246573964351+1.2976789587797912i
259.99566076661074,-389.99349114991696,0.2513869886258534+0.9886783481724047i,-0.3366945977016562-0.9083697189832172i,-0.3713076805032641-0.8711808939049642i,0.21677389826856142+1.0258671599019071i
324.9945759582635,-454.9924063415701,0.12584302669332423+0.7047245353980985i,-0.21005447297512939-0.6319726739465779i,-0.24466778817608936-0.5947839269921058i,0.09122968874660711+0.7419132130524222i
389.9934911499163,-519.9913215332227,0.024872722344734532+0.4340826570282942i,-0.09787399167764518-0.38030820053722014i,-0.13248792170572402-0.3431195354262939i,-0.009741201770645497+0.4712713267717722i
-519.9913215332219,454.9924063415702,0.09383588780070377+0.27430856177328244i,0.022114708854017062-0.3708851286683543i,0.004623333921810968-0.3520480017197672i,0.07634450589344328+0.2931456086748803i
-454.99240634156905,389.99349114991725,0.19379917646053416+0.504934251558178i,-0.06186018167345034-0.625558709676089i,-0.07935047948131294-0.6067216444559131i,0.17630888390283095+0.5237713880866262i
-389.99349114991645,324.9945759582644,0.31495394564790236+0.7719698802890071i,-0.17680434875762208-0.9060272539822495i,-0.19429517944043365-0.8871900372128035i,0.2974631022949241+0.7908069689388264i
-324.9945759582637,259.9956607666116,0.44344050703926935+1.0515087029267531i,-0.3093176408007362-1.1870662800773215i,-0.3268076936727493-1.1682291216043248i,0.42595044117977277+1.0703459148919936i
-259.99566076661097,194.9967455749587,0.5645969572577211+1.3185419605830264i,-0.4443438520278909-1.4435640261360867i,-0.46183421844704486-1.4247267411671747i,0.5471065695174805+1.337379097241073i
-194.99674557495823,129.99783038330585,0.6645636521993377+1.549163778356811i,-0.5668233608515041-1.6527322736368053i,-0.5843132699720791-1.6338950472400793i,0.647073716496736+1.5680010306234125i
-129.99783038330548,64.99891519165287,0.7318099633500355+1.722685399719546i,-0.6633137392856127-1.7961045022928832i,-0.6808037900732155-1.777267171842205i,0.7143198848920318+1.74152257332234i
-64.99891519165274,4.521737281063774E-14,0.758406430881514+1.8234651658731826i,-0.7234265969884434-1.8611396970668976i,-0.7409164973028752-1.8423024367062488i,0.7409164973028598+1.8423024367062704i
-7.216329222143074E-14,-64.99891519165277,0.7409165126655857+1.8423024741862197i,-0.7409165126656106-1.8423024741861938i,-0.7584064167481562-1.8234651253837195i,0.723426579484677+1.861139664290068i
64.99891519165266,-129.99783038330574,0.6808038056845338+1.7772672048154252i,-0.7143198973034275-1.7415226136335906i,-0.7318099512981002-1.7226853580535852i,0.6633137206148536+1.796104475674789i
129.99783038330537,-194.9967455749586,0.58431328482825+1.6338950746732388i,-0.6470737254035979-1.5680010716426303i,-0.6645636428550066-1.5491637375159693i,0.5668233420462727+1.652732254086346i
194.9967455749582,-259.9956607666115,0.46183423162535653+1.4247267625812197i,-0.5471065746954135-1.3373791367905086i,-0.5645969509438914-1.3185419225589268i,0.44434383407414874+1.4435640139427903i
259.9956607666109,-324.9945759582645,0.32680770442255225+1.1682291371080165i,-0.4259504427747424-1.070345950938544i,-0.44344050372667543-1.051508669514294i,0.30931762454274203+1.1870662748906735i
324.9945759582636,-389.9934911499172,0.19429518725218015+0.8871900474882453i,-0.29746310082843697-0.7908069997889638i,-0.3149539449409449-0.7719698529206778i,0.17680433482179317+0.9060272548551895i
389.99349114991634,-454.99240634157,0.07935048412835125+0.6067216506871314i,-0.17630888023904523-0.523771412547267i,-0.19379917762111717-0.504934231163209i,0.06186017041880898+0.6255587151569925i
454.9924063415691,-519.9913215332227,-0.004623332373437483+0.3520480054820825i,-0.07634450116909067-0.2931456261759959i,-0.09383588980854715-0.274308548686253i,-0.022114717356210706+0.3708851369429841i
-519.9913215332219,519.9913215332227,0.05232094967856395+0.1992518214505451i,0.034844307480831324-0.26170144083009317i,0.03484431122030161-0.26170144348119084i,0.05232095291614355+0.19925180947377005i
-454.9924063415691,454.99240634157013,0.13716717544586182+0.40363624406936516i,-0.029551994563374928-0.49459948658974684i,-0.029551987999103885-0.4945994875493038i,0.1371671783465555+0.4036362249799618i
-389.9934911499164,389.99349114991736,0.24934589847015481+0.655301993544505i,-0.13052147840327813-0.7652425332834164i,-0.13052146887558494-0.7652425307263461i,0.249345899851604+0.6553019674668772i
-324.9945759582636,324.9945759582643,0.3759875189032283+0.9316971514165153i,-0.25606699430442215-1.0491946434153712i,-0.25606698196110333-1.0491946358171547i,0.3759875178151071+0.9316971191176744i
-259.9956607666109,259.9956607666115,0.5026286667013741+1.2080926347046705i,-0.39175744284969904-1.3210076874362413i,-0.39175742812489667-1.3210076737175105i,0.5026286625081292+1.2080925975130092i
-194.9967455749582,194.99674557495862,0.6148113317678192+1.459753653953055i,-0.5223289609937839-1.5564613071595679i,-0.5223289445777892-1.5564612867911019i,0.6148113241950397+1.4597536136282094i
-129.9978303833054,129.99783038330574,0.6996595731505314+1.6641351680963057i,-0.6333328736754914-1.7347021742757391i,-0.6333328564547189-1.7347021473347808i,0.6996595622948903+1.6641351266613233i
-64.99891519165266,64.99891519165277,0.747307483645923+1.8028643808621525i,-0.7126954214677269-1.840053345553374i,-0.7126954044410018-1.8400533127244518i,0.7473074699466697+1.8028643404148599i
1.8040823055357684E-14,-1.7034998247570642E-14,0.7519870368280095+1.8633814597009797i,-0.7519870368280337-1.8633814597009855i,-0.7519870210064984-1.8633814222212772i,0.751987021006511+1.8633814222213068i
64.9989151916527,-64.99891519165287,0.7126954214677352+1.8400533455533483i,-0.7473074836459264-1.8028643808621707i,-0.7473074699466676-1.8028643404148903i,0.7126954044410191+1.840053312724427i
129.99783038330543,-129.99783038330582,0.6333328736755216+1.7347021742758226i,-0.6996595731505605-1.664135168096361i,-0.6996595622949218-1.6641351266613773i,0.6333328564547411+1.7347021473348474i
194.99674557495817,-194.99674557495868,0.5223289609937716+1.5564613071596023i,-0.6148113317678314-1.4597536539530747i,-0.6148113241950529-1.4597536136282292i,0.522328944577791+1.556461286791136i
259.99566076661097,-259.99566076661154,0.39175744284972613+1.3210076874362724i,-0.5026286667013986-1.2080926347047038i,-0.5026286625081465-1.2080925975130383i,0.3917574281249122+1.3210076737175418i
324.99457595826385,-324.99457595826425,0.2560669943044275+1.0491946434153945i,-0.3759875189032332-0.9316971514165485i,-0.37598751781511436-0.9316971191176942i,0.25606698196111255+1.0491946358171975i
389.9934911499164,-389.9934911499172,0.13052147840328468+0.7652425332834422i,-0.24934589847017363-0.6553019935445238i,-0.2493458998516146-0.6553019674669022i,0.13052146887560065+0.7652425307263678i
454.9924063415692,-454.99240634157013,0.029551994563378203+0.49459948658976494i,-0.13716717544585988-0.403636244069388i,-0.1371671783465554-0.40363622497997503i,0.029551987999102636+0.49459948754933125i
519.9913215332218,-519.9913215332228,-0.03484430748082995+0.2617014408301021i,-0.05232094967856751-0.19925182145055492i,-0.05232095291614949-0.19925180947377824i,-0.034844311220301405+0.2617014434812028i
-519.9913215332219,584.9902367248746,0.009102472970214479+0.11961945199911679i,0.04737111505051926-0.14626363759216415i,0.06486179119971178-0.16510054793028806i,0.02659313647448152+0.1007824811399168i
-454.99240634156905,519.9913215332227,0.07634450116908109+0.29314562617598516i,0.004623332373441397-0.3520480054820712i,0.02211471735621154-0.3708851369429687i,0.09383588980853762+0.27430854868624716i
-389.99349114991634,454.99240634157013,0.17630888023904603+0.5237714125472394i,-0.07935048412834589-0.6067216506871022i,-0.061860170418806426-0.6255587151569635i,0.19379917762111593+0.5049342311631846i
-324.9945759582635,389.99349114991713,0.2974631008284158+0.790806999788954i,-0.19429518725216102-0.8871900474882243i,-0.17680433482177443-0.9060272548551658i,0.3149539449409373+0.771969852920661i
-259.99566076661074,324.99457595826425,0.4259504427747275+1.0703459509385098i,-0.3268077044225294-1.168229137107976i,-0.3093176245427354-1.1870662748906304i,0.44344050372665+1.051508669514256i
-194.99674557495808,259.99566076661137,0.5471065746953923+1.3373791367905008i,-0.4618342316253492-1.4247267625812083i,-0.4443438340741255-1.443564013942776i,0.5645969509438659+1.3185419225589208i
-129.9978303833053,194.9967455749586,0.6470737254035783+1.568001071642573i,-0.5843132848282421-1.6338950746731766i,-0.5668233420462728-1.6527322540862823i,0.664563642854991+1.5491637375159075i
-64.99891519165257,129.99783038330565,0.7143198973034187+1.7415226136335427i,-0.6808038056844763-1.77726720481541i,-0.6633137206148232-1.796104475674767i,0.7318099512980806+1.7226853580535622i
1.2628576138750378E-13,64.99891519165274,0.7409165126655824+1.8423024741861944i,-0.7409165126655912-1.8423024741862093i,-0.7234265794846877-1.8611396642900848i,0.7584064167481469+1.8234651253837055i
64.99891519165283,-1.153690154164944E-13,0.7234265969884427+1.8611396970668612i,-0.7584064308815218-1.8234651658731695i,-0.740916497302845-1.8423024367062417i,0.7409164973028788+1.8423024367062368i
129.9978303833055,-64.99891519165293,0.6633137392856383+1.7961045022929103i,-0.731809963350036-1.7226853997195894i,-0.7143198848920349-1.7415225733223885i,0.6808037900732311+1.7772671718422275i
194.99674557495823,-129.99783038330594,0.5668233608515213+1.6527322736368253i,-0.6645636521993433-1.5491637783568535i,-0.6470737164967431-1.568001030623446i,0.5843132699720913+1.6338950472401175i
259.99566076661097,-194.99674557495874,0.4443438520279027+1.443564026136112i,-0.5645969572577207-1.3185419605830737i,-0.5471065695175028-1.3373790972411068i,0.4618342184470395+1.4247267411672169i
324.9945759582639,-259.9956607666116,0.30931764080074176+1.1870662800773373i,-0.4434405070392685-1.0515087029267567i,-0.42595044117976966-1.0703459148920127i,0.3268076936727592+1.168229121604336i
389.99349114991645,-324.9945759582644,0.1768043487576355+0.9060272539822807i,-0.31495394564790996-0.771969880289033i,-0.29746310229493667-0.7908069689388539i,0.19429517944043923+0.887190037212838i
454.9924063415691,-389.99349114991725,0.06186018167345306+0.625558709676105i,-0.19379917646054765-0.5049342515581944i,-0.17630888390283875-0.5237713880866385i,0.07935047948131888+0.6067216444559342i
519.9913215332222,-454.9924063415703,-0.022114708854017756+0.3708851286683692i,-0.0938358878006986-0.2743085617732999i,-0.07634450589344029-0.2931456086748958i,-0.004623333921811218+0.35204800171978606i
584.9902367248746,-519.9913215332228,-0.06486178524406189+0.16510053887018067i,-0.02659313482900921-0.10078248722232432i,-0.009102477446729908-0.11961944134278607i,-0.04737111383833207+0.14626363448140173i
-454.992406341569,584.9902367248746,0.013029755193651973+0.1759218302070643i,0.0395221576049721-0.20118314039172092i,0.07413625772198672-0.2383715984610012i,0.04764381294162977+0.138733333557934i
-389.9934911499163,519.9913215332226,0.09787399167763922+0.38030820053720704i,-0.024872722344730452-0.4340826570282777i,0.009741201770648633-0.4712713267717551i,0.13248792170571075+0.34311953542628243i
-324.99457595826345,454.99240634157,0.21005447297512597+0.6319726739465422i,-0.12584302669331018-0.7047245353980699i,-0.09122968874659859-0.7419132130523844i,0.24466778817608684+0.5947839269920808i
-259.99566076661074,389.99349114991713,0.3366945977016459+0.9083697189831703i,-0.25138698862582015-0.9886783481723801i,-0.2167738982685507-1.0258671599018743i,0.3713076805032472+0.8711808939049432i
-194.99674557495808,324.9945759582642,0.4633371232428299+1.1847639427352872i,-0.3870784165978095-1.2604901361429648i,-0.35246573964349237-1.2976789587797486i,0.49794977510839256+1.147575044839505i
-129.99783038330523,259.99566076661137,0.5755185542749933+1.4364265757971442i,-0.5176484826091191-1.4959452990280437i,-0.48303601083359604-1.5331341960083735i,0.6101310065602544+1.3992376354077933i
-64.99891519165249,194.99674557495848,0.6603679800280335+1.6408069087196138i,-0.6286534513480235-1.674184966512335i,-0.5940412147639109-1.7113738724863914i,0.6949801865342774+1.6036179239025348i
1.8040823055357686E-13,129.99783038330554,0.7080147403191299+1.7795374665371402i,-0.7080147403191239-1.7795374665371393i,-0.6734025990934112-1.816726399084333i,0.7426268530135895+1.7423484675760308i
64.99891519165284,64.99891519165266,0.7126954214677446+1.840053345553334i,-0.7473074836459065-1.8028643808621694i,-0.7126954044409852-1.8400533127244456i,0.7473074699466696+1.8028643404148552i
129.99783038330563,-2.1370303258541822E-13,0.6734026182528412+1.8167264255904576i,-0.7426268654688201-1.7423485093162514i,-0.7080147263176085-1.7795374290672703i,0.7080147263176069+1.779537429067262i
194.99674557495845,-64.99891519165294,0.5940412350337788+1.7113738915167012i,-0.6949801969663677-1.603617965037055i,-0.660367969715028-1.640806868670056i,0.6286534380442739+1.6741849333411407i
259.9956607666111,-129.997830383306,0.48303603116868976+1.5331342070370224i,-0.6101310144431363-1.3992376739945875i,-0.5755185480033125-1.436426535421395i,0.5176484709555005+1.4959452709989631i
324.99457595826374,-194.99674557495888,0.3524657590782165+1.2976789619479776i,-0.4979497802370442-1.1475750790702852i,-0.4633371210002789-1.1847639042713671i,0.38707840740170796+1.2604901135514894i
389.99349114991645,-259.99566076661165,0.21677391600661783+1.025867155995152i,-0.37130768302929057-0.871180922272886i,-0.3366945990916541-0.9083696844432616i,0.25138698247128666+0.988678330745763i
454.9924063415693,-324.99457595826453,0.09122970422783597+0.7419132034200313i,-0.24466778860830612-0.5947839484345218i,-0.2100544772346506-0.6319726449250839i,0.12584302388882623+0.7047245223266679i
519.991321533222,-389.99349114991753,-0.009741188829908709+0.471271313194325i,-0.13248792087156663-0.3431195494289404i,-0.09787399773427125-0.3803081780535736i,0.024872722901736283+0.43408264704383287i
584.9902367248746,-454.99240634157013,-0.07413624731949124+0.23837158298161415i,-0.047643811915309524-0.13873334021115102i,-0.013029761756105436-0.17592181460077805i,-0.039522153960987766+0.20118313188698447i
-389.99349114991617,584.9902367248746,0.016233201747625797+0.22810707281891998i,0.031217979865771572-0.2512652779491502i,0.08222655477648956-0.3058464391175416i,0.06724174906894825+0.1735257779039521i
-324.99457595826345,519.9913215332227,0.11619628412537976+0.45873430406020815i,-0.052755835435122744-0.5059401504142105i,-0.001746999805546684-0.5605216353377535i,0.16720511010146188+0.40415289427169804i
-259.9956607666106,454.99240634157,0.23735126004934637+0.725769907864707i,-0.16769965643058393-0.7864085189532325i,-0.11669217332252435-0.8409899955096595i,0.28835872135445995+0.671188285737807i
-194.99674557495794,389.9934911499169,0.365837762833206+1.0053098219682282i,-0.30021205256097117-1.067448505127382i,-0.2492044806212697-1.1220301902088305i,0.4168453200705764+0.9507281934915457i
-129.9978303833052,324.99457595826414,0.48699430095856633+1.2723431046757132i,-0.43523804776510716-1.3239461805608574i,-0.3842313949268525-1.378527842475231i,0.5380009313503269+1.2177612889688259i
-64.9989151916524,259.9956607666113,0.5869610042490455+1.5029655783239102i,-0.5577169574747862-1.533115009108462i,-0.5067103067136969-1.587696819887853i,0.6379676300358792+1.4483837975106075i
2.8865316888572295E-13,194.99674557495842,0.6542072882221487+1.6764872241729276i,-0.6542072882221565-1.676487224172922i,-0.6032011006637059-1.731068984591937i,0.7052134491155181+1.621905306665315i
64.99891519165284,129.99783038330546,0.6808038056844926+1.7772672048154086i,-0.7143198973034133-1.7415226136335433i,-0.6633137206148024-1.7961044756747653i,0.7318099512981046+1.722685358053541i
129.99783038330574,64.99891519165256,0.6633137392856543+1.79610450229288i,-0.7318099633500259-1.7226853997195883i,-0.6808037900732146-1.777267171842229i,0.7143198848920247+1.7415225733223585i
194.99674557495837,-3.300778728096998E-13,0.6032011214270058+1.731069003444118i,-0.7052134599143229-1.6219053478953165i,-0.6542072764390422-1.676487186758572i,0.6542072764390644+1.676487186758553i
259.9956607666112,-64.99891519165308,0.5067103285079264+1.5876968301866576i,-0.6379676388822919-1.448383836421301i,-0.5869609967743593-1.5029655387101373i,0.557716947294675+1.533114975745689i
324.9945759582637,-129.99783038330602,0.3842314167026936+1.3785278441234834i,-0.5380009378229136-1.217761323757836i,-0.48699429791803106-1.2723430652295205i,0.4352380400473636+1.3239461519211215i
389.9934911499167,-194.99674557495882,0.24920450144122394+1.1220301837958773i,-0.4168453240819986-0.9507282225991366i,-0.3658377639643421-1.005309784957868i,0.3002120479629752+1.0674484813407323i
454.9924063415693,-259.9956607666117,0.1166921924429147+0.8409899822503646i,-0.2883587231743293-0.6711883079954628i,-0.23735126470453274-0.7257698752477105i,0.1676996553446642+0.7864084996054029i
519.9913215332222,-324.99457595826476,0.0017470167353352273+0.5605216169487208i,-0.1672051103419269-0.4041529090113121i,-0.11619629131465874-0.45873427729072247i,0.0527558379558519+0.5059401345861331i
584.9902367248746,-389.9934911499174,-0.0822265402462176+0.3058464176541796i,-0.067241748633577-0.17352578502879012i,-0.016233210217425492-0.22810705270489923i,-0.031217973942028604+0.25126526430669255i
-324.99457595826334,584.9902367248746,0.018514600806194395+0.274951790078848i,0.022771668347629656-0.2953486291262435i,0.08910160653685592-0.3659148740788687i,0.0848444699030616+0.20438543901158548i
-259.9956607666106,519.9913215332227,0.1306928232572394+0.5266190133250328i,-0.07819693312058515-0.5659928715712685i,-0.011867446605024451-0.6365594573958901i,0.19702231406018952+0.45605245848104725i
-194.9967455749578,454.9924063415698,0.25733429533035634+0.8030151510659628i,-0.20374150009096192-0.8499458677379087i,-0.1374130127414407-0.920512474343848i,0.32366274931636674+0.7324484404591955i
-129.99783038330506,389.9934911499169,0.38397510513386846+1.0794116654582921i,-0.3394312261353681-1.1217598194508243i,-0.2731032135184452-1.192326634867754i,0.4503031102192706+1.0088448473255738i
-64.99891519165229,324.994575958264,0.4961576219658705+1.3310733670877946i,-0.4700021438175651-1.357214058778052i,-0.40367477354976516-1.4277809023147563i,0.5624849617563016+1.2605064309130922i
3.608164611071537E-13,259.9956607666113,0.5810056448495768+1.53545546460949i,-0.5810056448495787-1.5354554646094873i,-0.5146785935577023-1.6060224115844821i,0.647332676438872+1.4648884767230481i
64.99891519165301,194.99674557495834,0.6286534513480492+1.6741849665123265i,-0.6603679800280388-1.640806908719634i,-0.5940412147639177-1.711373872486405i,0.6949801865342969+1.6036179239025288i
129.99783038330574,129.99783038330537,0.6333328736755085+1.734702174275771i,-0.6996595731505264-1.6641351680963266i,-0.6333328564547255-1.7347021473347946i,0.6996595622949132+1.66413512666135i
194.99674557495857,64.99891519165253,0.5940412350337952+1.7113738915166847i,-0.6949801969663632-1.603617965037031i,-0.6286534380442722-1.6741849333411472i,0.660367969715013+1.6408068686700108i
259.99566076661137,-3.4722818622951383E-13,0.5146786158434383+1.6060224216350236i,-0.6473326856101164-1.4648885157397142i,-0.5810056360682552-1.5354554273505703i,0.581005636068277+1.5354554273505654i
324.99457595826397,-64.99891519165324,0.40367479675946694+1.4277809030188267i,-0.5624849690543207-1.2605064660257297i,-0.49615761797307134-1.3310733281506348i,0.4700021374737643+1.3572140253122131i
389.9934911499167,-129.9978303833062,0.2731032366077607+1.1923266265844692i,-0.4503031153300786-1.0088448769407536i,-0.3839751058089518-1.0794116272954948i,0.3394312229574551+1.121759790291679i
454.99240634156934,-194.99674557495902,0.13741303480762732+0.9205124581156738i,-0.32366275226958835-0.73244846332283i,-0.2573343001541418-0.8030151159427837i,0.2037415005568467+0.849945842869474i
