% Model,cwt_solver_20240922.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 14 2024, 09:19"
% Dimension,2
% Nodes,441
% Expressions,4
% Description,", , , "
% Length unit,m
% X,Y,Rx (1) @ lambda=6,Sx (1) @ lambda=6,Ry (1) @ lambda=6,Sy (1) @ lambda=6
-584.9902367248746,-129.99783038330486,0.12115183143709915+0.2670373753881031i,0.10227528324445367-0.4884413385288776i,-0.01838571655270793-0.3732216033685898i,4.908879584516745E-4+0.3822572941453033i
-649.9891519165274,-64.99891519165215,0,0.23730107555192742-0.2319393954541137i,0.11663799761965112-0.11671957680707112i,-0.12066293107952421+0.11521958726636444i
-584.9902367248746,-64.99891519165203,0.12663790266409738+0.2763985903643718i,0.10416012013040654-0.506809972590922i,-0.01576326257237634-0.3893130565448632i,0.006714613149276211+0.3938956548792347i
-649.9891519165274,6.821210263296962E-13,0,0.2398506957379484-0.23499349610497694i,0.11992537829322367-0.11749671347418968i,-0.11992537829322264+0.11749671347419002i
-584.9902367248746,7.958078640513122E-13,0.1284832196049214+0.2795422421471644i,0.10478849029257217-0.5129818604161592i,-0.011847394987410914-0.3962621472514244i,0.011847394987413579+0.3962621472514212i
-649.9891519165274,64.9989151916534,0,0.23730107555192861-0.2319393954541084i,0.12066293107952346-0.11521958726636297i,-0.11663799761965146+0.11671957680706935i
-584.9902367248746,64.99891519165351,0.12663790266409689+0.27639859036437664i,0.1041601201304061-0.5068099725909189i,-0.006714613149274601-0.39389565487923545i,0.015763262572377895+0.3893130565448596i
-649.9891519165274,129.99783038330622,0,0.22970493518948734-0.22285420286189972i,0.11882821474636661-0.10993999224712113i,-0.1108767904599286+0.11291415996586693i
-584.9902367248746,129.99783038330634,0.1211518314370983+0.2670373753880943i,0.10227528324445401-0.4884413385288675i,-4.908879584482884E-4-0.3822572941452951i,0.018385716552709444+0.3732216033685818i
-649.9891519165274,194.99674557495896,0,0.21722002460904916-0.20797109868888042i,0.11445162304324122-0.10178693238957953i,-0.10276825455798358+0.10618393612435471i
-584.9902367248746,194.99674557495908,0.1121776418501321+0.25166632747232487i,0.09913485302496566-0.45831350912588953i,0.006648767943455369-0.3616066872138824i,0.019691641911312133+0.34837327551878555i
-649.9891519165274,259.9956607666117,0,0.20010534296619067-0.18766951460058717i,0.10761744969977002-0.09096280725694313i,-0.09248799140469117+0.09670671477442744i
-584.9902367248746,259.9956607666119,0.09996213095180956+0.23062666188771117i,0.09474161456345243-0.417144317317171i,0.014487898840743599-0.3324138945254632i,0.019708459515388813+0.31535724305663954i
-649.9891519165274,324.99457595826453,0,0.1787164661897887-0.16246983179032365i,0.09846074975294905-0.0777392452470527i,-0.08025557368566472+0.08473036169773988i
-584.9902367248746,324.9945759582646,0.08484447000890294+0.20438544651669885i,0.08910158830840492-0.3659148472352456i,0.022771660353530565-0.2953486107470416i,0.01851461095226198+0.27495176602707466i
-649.9891519165274,389.9934911499173,0,0.15349798656463637-0.1330155396794723i,0.08716663763864407-0.06244946447229949i,-0.06633149493610055+0.07056618861660555i
-584.9902367248746,389.9934911499174,0.06724174863356851+0.17352578502878693i,0.0822265402462149-0.30584641765417087i,0.03121797394203142-0.25126526430668206i,0.016233210217423327+0.22810705270489545i
-649.9891519165274,454.99240634157,0,0.12497476817545893-0.10006238490871444i,0.07396461562790847-0.04548100815249784i,-0.0510100320170232+0.05458117132172775i
-584.9902367248746,454.99240634157013,0.047643811915313444+0.1387333402111417i,0.07413624731948867-0.2383715829816072i,0.039522153960985226-0.20118313188697357i,0.013029761756107212+0.17592181460077239i
-649.9891519165274,519.9913215332227,0,0.09374143135228538-0.06445310804184233i,0.05912647167967264-0.0272649046289653i,-0.03461516684972543+0.037188474836864105i
-584.9902367248746,519.9913215332228,0.026593134829004363+0.10078248722231954i,0.06486178524405976-0.16510053887017712i,0.047371113838330745-0.14626363448139518i,0.009102477446727403+0.1196194413427837i
