Q,SE,uuid
1717.6341297971373,0.034108866523992254,20241226142319_0a89b3e552a14f19a4b12643186d51c2
3224.0779929085543,0.7594935090043914,20241226142439_7c7c87cfb2f14419aaee7dc47bbb078f
3359.902007711939,0.7352845689815464,20241226142542_2e486e9fa783420a8e229d53de7583b8
9507.206066710552,0.5074492700054185,20241226142650_6f5614dab2b54e2c8987be23778257ea
4134.377223518309,0.7806153692137329,20241226142750_7de505e4e36c4e8f967abe1de195aa6e
6256.939398624039,0.6292413873016931,20241226142854_f9e7e550a4ad482aab8bb99d2628b8d1
,,20241226143006_6e3eeba360174b6f86a70393d58c0613
12237.7943433668,0.748813571932754,20241226143122_6fab8fd85b2a4db1b5310674c31fa34e
8675.58744606273,0.1377433877470633,20241226143228_e56ea436c1dd47ce9b33b3c39c79aca7
4467.085067959176,0.8020005774800396,20241226143346_4dac3910e06b4152878199e91599bf9c
5502.568660677137,0.7967678520873038,20241226143455_f914535c2906455ba71ed9d5c2e319e7
11162.07690049242,0.5129644301043224,20241226143554_72e2b50c14b447ff804390ba6e6354ec
3531.235096694551,0.18575196610715905,20241226143655_fe08cb875bdc441bb61b84331ffd0dcf
9899.812534884755,0.8155816482706286,20241226143805_baa5b33e48a0461fb008243c281d32f7
3640.9670331914454,0.596604903787237,20241226143911_b45185d991ea4c3d88b16ad6654c1ab4
11910.599395999025,0.5841713285532882,20241226144019_be69c405bed84f899d3235a823098b5b
5839.555683869833,0.25467785184904945,20241226144128_a10b4a10d2df46a4ad8b06577529a8f9
6652.322755668417,0.8231605440507428,20241226144237_1c4717215ed04873ba1edb5da46f8d34
2621.4015254291876,0.4193387241845714,20241226144341_ec745c53f8be460e8c2078a3e920db10
3058.123301695445,0.8481633077238514,20241226144449_418ecde295044351a1ab9857cdf6b2fb
7146.269877535975,0.7891387369144398,20241226144551_ba1d0a1b948746f090da9821a0a6dcae
6707.653154783204,0.5285678368635003,20241226144656_1c1ba008937e4ef2a4350a61a72595db
13252.951522845131,0.49274999756399407,20241226144758_fd5a9f08ba184be7b0761b0aa52b5810
2306.5706294248967,0.34182652850471285,20241226144904_041b285cc8394e9981b56d57d74ddbd3
7637.2975522754405,0.4938922210939748,20241226145007_d2978201c26e466e998f47d58fa139d0
11103.553952565064,0.43080894425718386,20241226145113_ad341e88d69d4a6da4151f2c0a74f1ee
5099.832198530516,0.7821866948564661,20241226145223_f29ba6b6aa794a45af1cc5a3b004c2d9
17411.649629848074,0.4075912932802829,20241226145327_113998bbfdd444d4ba5c5468ec6f3edd
1959.316835994737,0.21297390538755312,20241226145435_5125e3a93b86467eadd91cefae629f69
1132.784881768636,0.31176754729432943,20241226145546_aaa5ed07b37c461bbe7a6f466ab5ef95
2925.5512762184844,0.47250552985794947,20241226145649_db7c30f1ee2d4ecea041ec1d39967972
6206.618770513889,0.7726420314480421,20241226145806_1c774495ca2b4569a8eb9509544494f8
10645.903446714507,0.10019332239067436,20241226145911_f6cb0d6082f742f9bb7c61b2dde6afe0
17159.53139972875,0.47033475972824645,20241226150017_040e96f9c22d44a4a6a67547ee3b495a
2462.9251348348994,0.12890563555141132,20241226150124_bd0369a5291a43d5889e17fb7cbe5b24
3399.838346882145,0.8007497843626779,20241226150228_f67eb2aa05d74e1f9320f511b4686a9f
8586.042540166149,0.6120541431053017,20241226150327_be4cb334f7c547c58ecbd87adc781418
9801.781253155059,0.5508085599839533,20241226150428_8ce6ec371afa4ecf8f21695694404be7
6441.9012185345155,0.657845572915702,20241226150526_7ac616ee90524803b6239bcdd3e8724b
4054.0034252427595,0.7684856848967924,20241226150624_a9d9854be1ef497599693ffa46b63711
2666.964999381791,0.6844375736331291,20241226150725_ca1d3381044d4070afacca25fb16217e
5416.108815265051,0.8381462201623219,20241226150832_4e7db542eb1442daaf01055ddc34e09e
6020.1801186553475,0.6455283934753316,20241226150934_dd6e66ef8cb9416788be3158638d82af
5114.9007657256125,0.7768884369200435,20241226151036_fc9c31840b40412dbc991679bbbbd414
2980.4241782860613,0.13157086420967834,20241226151138_0f77a00d4e174f55beec9552e53ff2a5
2846.228708957799,0.31508990502351464,20241226151236_94eb345728ee4caf8942af7e43bbb5b4
8462.576206328518,0.6552364070147505,20241226151341_c1391827308c4d1ab22288b68aa1e113
3111.4811101271234,0.676060738286353,20241226151442_c1fd41c980e54186803b6408f579e0ac
12902.635411982388,0.5359450708676474,20241226151549_175f2861c7544fb1934ec6839ca07411
12594.672924372782,0.5864251349175513,20241226151653_d066739cb41d42cd8db9665581127b5f
8965.28263490575,0.46869997127856267,20241226151803_dc3b3746b86c4d89b591c3541bb63361
8226.547039898724,0.4490210894172254,20241226151912_bb9559f5a4a94cb2b86ff3f7838128b1
12703.315154990869,0.4681924884969909,20241226152013_f54555fc76274c85a061f563d326885a
4335.1408875476,0.31759587961330926,20241226152125_81ab11d765214d6b82a36d138a2af095
3835.9994825778526,0.7095042582732978,20241226152237_ee2b18accecb4d8e989aebd57829a488
4698.715274833366,0.7864005450095808,20241226152339_0d29c1004b3e414bab0d2c11962b258e
1996.5376316531415,0.8855491113844421,20241226152440_1ce565e5bcd945b68b84da201d545f38
7124.415349602693,0.4639312566844487,20241226152541_90676f1284b84d1e9757a017f63b8ae2
8772.761348904249,0.18859830631953933,20241226152655_b0fcf0bb64784bc68fe6094cd0227eea
3958.707365358526,0.7071045182434526,20241226152759_9c75b5c26be34775a508cdf03925daa3
6412.999201323017,0.7148916645096527,20241226152905_8397242af2474211bbe1622a7d74d765
