Q,SE,uuid,t11,time_cost
nan,nan,20250109155711_07f74436005f4ebea483206fcc038ec4,(6.67057520331582e-11+5.258016244624741e-13j),75.2360634803772
18995.822636305988,0.41236337042463533,20250109155842_9287fbc764e947fc82a07c6503fb0ff1,(3.0304647680168273e-12+2.2026824808563106e-13j),77.78828430175781
20483.793210476477,0.6241461161335192,20250109160007_73b86477aef94756b3b2e95faee1ae4f,(-4.934586073090941e-11+0j),78.45993447303772
24241.42149688935,0.8768357566781326,20250109160131_d4bc874d08264dac859f881beddf0ec9,(-1.2943701666046081e-11-2.389199948993337e-13j),73.93884181976318
20710.14323904841,0.8602214866210277,20250109160251_a129d798063e4f5b9e1ec8a8c083bc8b,(-2.5708827428028158e-11-2.0961010704922955e-13j),83.07179069519043
15129.462892467482,0.9139099010751283,20250109160421_93600c86487442148541e85f8a203a55,(-4.906353101574723e-11+0j),71.95554637908936
6245.705200663084,0.5903480571754631,20250109160538_a517155c7565443d98b1186b57019aa4,(-9.049827554008516e-11+0j),73.16372084617615
1240.4909215043087,0.35429114346150437,20250109160706_d21238ffbb7f45f09307e6747c55d477,(5.257638768796369e-11+0j),67.38569688796997
10079.43781595366,0.7521036901121803,20250109160819_0282c1a628b94c4dbc04cef268160972,(-6.474731861771943e-11-3.730349362740526e-13j),68.60101008415222
37704.394629313196,0.7584648229664116,20250109160934_79c9cf778a6243c5ace9244be47482ad,(-4.724126645427873e-11-2.4069635173873394e-13j),69.90881586074829
4633.770532556209,0.6057931823008085,20250109161049_9d0cf84a96214b1099221964a975baf3,(7.826095327345683e-11-2.4940050025179517e-12j),78.80602741241455
6159.988402749209,0.6693390456205416,20250109161215_b42c5dcbd49a48b6abc700f234453faa,(-6.217248937900877e-13+0j),83.25982117652893
3655.5081979516985,0.55422987711019,20250109161346_4d99bda6ca76462cb79b761182ef81ac,(3.0304647680168273e-12+2.2026824808563106e-13j),71.33386635780334
122866.43654003036,0.5952564220381227,20250109161509_9dc369aea08a449bb074fbe85dd9e727,(-5.7351012827666636e-11+0j),62.548280239105225
2423.311492208552,0.39210804943215527,20250109161616_7f9e5c3fcac54637867be2281e82dcee,(6.67057520331582e-11+5.258016244624741e-13j),62.88615584373474
80799.60358504337,0.6447183998534964,20250109161724_c6ef43a94da64b22a5a057f36cbb5b6e,(8.796907646768659e-11+0j),66.962153673172
7290.458490044542,0.7176855628496479,20250109161835_a494c2572dae404ebf57e3a3f66f1c38,(3.659295089164516e-12+0j),71.02519512176514
11013.164689174497,0.39743079937722847,20250109161951_91b756f806de41df8e48142926d72fe6,(3.61666252501891e-11+0j),77.47458481788635
39703.785134503894,0.603985903849694,20250109162116_c7bb15788dd44fdbb561146f07d020d2,(4.076383675055695e-11+0j),72.21445822715759
13197.327797234117,0.6314543651998886,20250109162233_b70b5c6863d84ddd9476ebb245ceaca0,(-3.274802651276332e-11-4.369837824924616e-13j),70.51853775978088
nan,nan,20250109162349_60e980f2bcd84c1c9320df601fa93e7d,(-7.096900844771881e-11+0j),59.85864472389221
12546.352934530672,0.7037408371831995,20250109162509_bf226d5276c341f38750068a7f7c357b,(-2.670819121419754e-11+7.389644451905042e-13j),73.50586175918579
nan,nan,20250109162627_d6a8c906975d48e18fba1d366f6ee61f,(5.051248308518552e-11+0j),76.91776084899902
37284.98532324631,0.8098982281280867,20250109162810_bfa43df4c7d54c029429e004cc3fb644,(7.942915769554304e-11+1.4210854715202004e-14j),74.0950334072113
5283.887756463584,0.7522435803095583,20250109162929_c73cbe6f6b5e474daf51a7c8bd5366d0,(9.808687195800303e-11+0j),73.15969848632812
6646.073159600463,0.9361221286902625,20250109163047_51b9a400148241eaa121916c53d143ab,(-9.490941366152583e-11-8.739675649849232e-13j),72.63857054710388
10804.776264556705,0.7418065937811117,20250109163205_cefb9f92673046a18a3b03f60710e15c,(-8.799005968285201e-11+0j),65.22802495956421
1197.7415570229368,0.3216586383829301,20250109163315_32887d55efb64aa5b4e9e6d70a718612,(4.212807880321634e-11+0j),63.1463360786438
15627.606709956213,0.49526071738963307,20250109163432_be99b82e01ab479f934732c6306eb458,(2.76507705621043e-11+0j),67.19710946083069
61820.25293345698,0.6085422795918433,20250109163544_97ea07bfadac4efebf869bfbdaccf940,(2.6981528122860254e-11+0j),70.06434726715088
1805.1721601336992,0.4176919004423024,20250109163658_ef6c9cd7ba5f4af09bcc61d6b6bb95fd,(-9.566036851538229e-11-3.865352482534945e-12j),74.83981704711914
148182.6449734721,0.36286237822047784,20250109163819_4048bc35efaf4e6c8b1b9b955a335de0,(-1.2943701666046081e-11-2.389199948993337e-13j),61.30094623565674
7602.727194211227,0.3949572913684751,20250109163925_3371a8aa555c40209d0a353171524450,(3.154809746774845e-11+0j),80.24436545372009
12160.125213090865,0.18961389700312437,20250109164053_501d94f1a60748ed9a7f37d0d4f519a2,(-6.837019839167624e-11+0j),64.32019019126892
3033.50538843943,0.553779415803167,20250109164201_6a1e5a68afc54d3eaaac31d952b15393,(5.977085493213963e-11+0j),80.08345222473145
19671.552260257347,0.9286007907341645,20250109164333_0fa9d1c8a81e45f99eb284abaf13f617,(-1.0119949322984212e-09-6.483702463810914e-14j),75.91515064239502
